iter	RMSE
0	7.826164266
1	7.067213705
2	6.388999272
3	5.771910595
4	5.222010482
5	4.719020311
6	4.263805596
7	3.854245031
8	3.488653169
9	3.159481006
10	2.859712925
11	2.591181296
12	2.350712243
13	2.128743957
14	1.928280893
15	1.749060226
16	1.586236686
17	1.441233627
18	1.311366848
19	1.193113259
20	1.086847796
21	0.993239481
22	0.9099668038
23	0.831885653
24	0.7623501267
25	0.701417188
26	0.6467205696
27	0.5973835172
28	0.5548079315
29	0.5159952923
30	0.4821853351
31	0.4522093943
32	0.4262995328
33	0.4032786639
34	0.383357974
35	0.3663495519
36	0.351856193
37	0.3384654468
38	0.3273166052
39	0.3175466814
40	0.3092317204
41	0.3019923578
42	0.2957780414
43	0.2899181847
44	0.2852700193
45	0.280790286
46	0.2764648296
47	0.2727522237
48	0.2697671098
49	0.2663180026
50	0.2633906187
51	0.2609405274
52	0.2588179389
53	0.2567730179
54	0.2549017244
55	0.2527975933
56	0.2508825235
57	0.2490519489
58	0.2472843179
59	0.2458010323
60	0.2443352396
61	0.2427411548
62	0.2409355987
63	0.2397818572
64	0.2386417401
65	0.237305343
66	0.2362926708
67	0.2352671562
68	0.2339138595
69	0.2329465711
70	0.23140167
71	0.230465219
72	0.2294960386
73	0.2286969069
74	0.2275514702
75	0.2266529789
76	0.2258978059
77	0.2247814598
78	0.2238993873
79	0.2233281464
80	0.2225266376
81	0.2214547979
82	0.2204334445
83	0.2194043345
84	0.2180728365
85	0.2175228877
86	0.2167124243
87	0.2162454982
88	0.2153270804
89	0.2143772517
90	0.2135014785
91	0.2130266142
92	0.2123728469
93	0.2113458413
94	0.2108469704
95	0.2101431446
96	0.2090928684
97	0.2081563071
98	0.2075080313
99	0.2065010838
100	0.2056548976
101	0.2047373897
102	0.2043862962
103	0.2037455317
104	0.2033063716
105	0.2027781527
106	0.202315497
107	0.2014391433
108	0.2009087741
109	0.2003837474
110	0.1994348921
111	0.1987890292
112	0.1978033477
113	0.1972835986
114	0.197027364
115	0.1960369182
116	0.1948995098
117	0.1944150253
118	0.1937318102
119	0.1930171663
120	0.1923478034
121	0.1912782768
122	0.19075437
123	0.1903785368
124	0.189963623
125	0.1895848981
126	0.1887718094
127	0.1884359844
128	0.1879655133
129	0.187507828
130	0.1873460999
131	0.1866112484
132	0.1862398979
133	0.1853641442
134	0.1847557843
135	0.1839127716
136	0.1832082104
137	0.1825644386
138	0.182399019
139	0.1816562285
140	0.1815080691
141	0.1814207199
142	0.1811358477
143	0.1805282409
144	0.1797854892
145	0.1791106928
146	0.1783209761
147	0.1780259874
148	0.1773608201
149	0.1766947709
150	0.1762422278
151	0.1756354934
152	0.1750752462
153	0.1747763026
154	0.1744313897
155	0.174205327
156	0.1739294273
157	0.1734181165
158	0.1729367239
159	0.1723119039
160	0.1719590167
161	0.1715414502
162	0.1712410037
163	0.1705814101
164	0.1699850094
165	0.1696107018
166	0.1692651239
167	0.1686394468
168	0.1683401276
169	0.1680935992
170	0.1678367895
171	0.1672814367
172	0.1670810141
173	0.1668271678
174	0.1666265288
175	0.1664226667
176	0.1658999821
177	0.1657129315
178	0.1652607775
179	0.1650128551
180	0.1649335611
181	0.1645237114
182	0.1641113442
183	0.1635312455
184	0.1630429093
185	0.1625678168
186	0.1624210352
187	0.1623276502
188	0.1620336463
189	0.1615982967
190	0.1614264942
191	0.1611132582
192	0.1606248621
193	0.1600306341
194	0.1596106892
195	0.1595024013
196	0.1591599969
197	0.1587047819
198	0.1583872804
199	0.1581910389
