iter	Passed	Remaining
0	37	7486
1	74	7347
2	111	7318
3	151	7410
4	189	7379
5	225	7304
6	266	7349
7	305	7342
8	341	7253
9	381	7254
10	422	7259
11	465	7299
12	507	7293
13	549	7295
14	588	7252
15	627	7215
16	664	7153
17	703	7110
18	740	7057
19	777	6993
20	812	6923
21	852	6893
22	889	6846
23	930	6826
24	969	6789
25	1011	6767
26	1048	6716
27	1085	6667
28	1121	6612
29	1161	6582
30	1202	6553
31	1239	6507
32	1279	6474
33	1316	6430
34	1353	6379
35	1389	6330
36	1426	6284
37	1463	6240
38	1500	6195
39	1537	6150
40	1577	6116
41	1616	6082
42	1654	6040
43	1691	5996
44	1734	5975
45	1773	5939
46	1814	5906
47	1852	5866
48	1890	5825
49	1928	5784
50	1965	5741
51	2001	5697
52	2037	5651
53	2073	5605
54	2112	5568
55	2148	5525
56	2184	5480
57	2220	5436
58	2257	5395
59	2295	5356
60	2333	5316
61	2373	5282
62	2412	5246
63	2450	5207
64	2487	5165
65	2524	5124
66	2561	5085
67	2599	5046
68	2642	5016
69	2679	4976
70	2716	4935
71	2760	4907
72	2801	4873
73	2843	4841
74	2882	4804
75	2922	4767
76	2958	4725
77	2996	4686
78	3033	4645
79	3069	4604
80	3106	4563
81	3143	4523
82	3179	4481
83	3215	4440
84	3252	4400
85	3289	4360
86	3328	4322
87	3373	4294
88	3413	4257
89	3454	4222
90	3493	4184
91	3534	4149
92	3574	4112
93	3611	4072
94	3649	4033
95	3688	3995
96	3726	3956
97	3765	3919
98	3807	3884
99	3845	3845
100	3884	3807
101	3921	3768
102	3957	3727
103	3997	3690
104	4036	3652
105	4074	3613
106	4113	3575
107	4150	3536
108	4192	3499
109	4230	3461
110	4267	3421
111	4305	3382
112	4344	3344
113	4381	3305
114	4421	3267
115	4464	3232
116	4503	3194
117	4544	3158
118	4586	3121
119	4623	3082
120	4660	3043
121	4698	3003
122	4736	2964
123	4772	2925
124	4809	2885
125	4849	2848
126	4887	2809
127	4927	2771
128	4966	2733
129	5003	2693
130	5043	2656
131	5080	2617
132	5120	2579
133	5156	2539
134	5191	2499
135	5227	2459
136	5263	2420
137	5298	2380
138	5334	2341
139	5372	2302
140	5407	2262
141	5443	2223
142	5479	2184
143	5517	2145
144	5554	2106
145	5591	2068
146	5628	2029
147	5667	1991
148	5705	1952
149	5745	1915
150	5783	1876
151	5821	1838
152	5857	1799
153	5893	1760
154	5930	1721
155	5968	1683
156	6007	1645
157	6045	1607
158	6083	1568
159	6119	1529
160	6157	1491
161	6194	1452
162	6232	1414
163	6272	1376
164	6308	1338
165	6344	1299
166	6381	1260
167	6417	1222
168	6458	1184
169	6498	1146
170	6537	1108
171	6575	1070
172	6613	1032
173	6650	993
174	6687	955
175	6725	917
176	6763	878
177	6801	840
178	6839	802
179	6876	764
180	6915	725
181	6952	687
182	6991	649
183	7031	611
184	7071	573
185	7114	535
186	7152	497
187	7191	459
188	7228	420
189	7264	382
190	7300	344
191	7338	305
192	7376	267
193	7415	229
194	7452	191
195	7490	152
196	7527	114
197	7563	76
198	7599	38
199	7636	0
